cycle,capacity,temp_max,voltage_min,discharge_ref,re,rct,H_structural_disruption,F_Q,F_C,Delta_F,CRLB,Coherence_percent,Omega,unit_id,RUL,variance_score,drift_score
1,2.035337591005598,39.16298653238707,2.4757677568281857,,0.06123359021000344,0.0785415394665875,0.05712861689488258,4.0,3.568113866017781,0.4318861339822191,0.28026011432086306,97.27958967167226,91.72214126162791,1,100.0,0.0785415394665875,2.035337591005598
2,2.0251402460314116,39.2462026826329,2.35152551190002,,0.06123359021000344,0.0785415394665875,0.05202302086837152,4.0,3.60473521759411,0.3952647824058899,0.27741288600593106,97.52271329198231,92.4492871432533,1,99.49898508143073,0.0785415394665875,2.0251402460314116
3,2.013326371345464,38.999202460252846,2.4404797151065436,,0.06123359021000344,0.0785415394665875,0.04269119051915382,4.0,3.6726445194485877,0.3273554805514123,0.2722833627661139,97.96708616575458,93.78475462564599,1,98.91854698908898,0.0785415394665875,2.013326371345464
4,2.0132846655407413,38.843627771866515,2.4791558539003917,,0.06123359021000344,0.0785415394665875,0.041130419033122756,4.0,3.684126748949959,0.31587325105004105,0.271434743738124,98.04140861747035,94.00892439843618,1,98.91649790372313,0.0785415394665875,2.0132846655407413
5,2.000528337624771,38.97798888258284,2.280187848173442,,0.06123359021000344,0.0785415394665875,0.034931871580234364,4.0,3.7300834943872707,0.2699165056127293,0.26809051365866726,98.33657754379837,94.90149684539865,1,98.28975529491258,0.0785415394665875,2.000528337624771
6,2.0138990759931645,38.83989920742278,2.4392842568466446,,0.06123359021000344,0.0785415394665875,0.041455065078066955,4.0,3.6817354510031506,0.3182645489968494,0.2716110413982985,98.02594928199682,93.96227717517235,1,98.9466850557287,0.0785415394665875,2.0138990759931645
7,2.013101105626967,39.04610837498471,2.2812068449406446,,0.06123359021000344,0.0785415394665875,0.043021595371152244,4.0,3.6702184020000663,0.3297815979999337,0.2724633497164788,97.9513526013737,93.73732914370034,1,98.907479256665,0.0785415394665875,2.013101105626967
8,1.9687898262728398,38.87507521022778,2.366410527029613,,0.06123359021000344,0.0785415394665875,0.014906048436834851,4.0,3.8825116017252492,0.11748839827475077,0.2575652316288342,99.29018816967454,97.81016381551493,1,96.73038197560734,0.0785415394665875,1.9687898262728398
9,1.9681661764334244,38.7260539826455,2.436020049578708,,0.06123359021000344,0.0785415394665875,0.014719368292569368,4.0,3.883961448017767,0.1160385519822329,0.2574690849494306,99.29907770035385,97.83745800456988,1,96.69974087497759,0.0785415394665875,1.9681661764334244
10,1.9572307917560536,38.98629728904917,2.1864377487643725,,0.06123359021000344,0.0785415394665875,0.009029898094904953,4.0,3.928409218506603,0.07159078149339715,0.2545559651191719,99.57000485262357,98.67089785549518,1,96.16246466459876,0.0785415394665875,1.9572307917560536
11,1.9455991514129352,38.65978861919643,2.3406023605912454,,0.06123359021000344,0.0785415394665875,0.013577658269799953,4.0,3.8928402966568885,0.10715970334311153,0.25688184559196653,99.35344484429524,98.00445772227198,1,95.59098009149795,0.0785415394665875,1.9455991514129352
12,1.9347505044841131,38.84979195732924,2.4263021374140443,,0.06123359021000344,0.0785415394665875,0.019008604804318985,4.0,3.8507854924832756,0.14921450751672438,0.25968727729757934,99.09482834265148,97.21117391253419,1,95.05796547137973,0.0785415394665875,1.9347505044841131
13,1.9232799539368028,38.75128344015104,2.4753697700007034,,0.06123359021000344,0.0785415394665875,0.026078676927020594,4.0,3.7967179921565037,0.20328200784349626,0.26338537707195064,98.75815824157044,96.18267613888095,1,94.49439554578115,0.0785415394665875,1.9232799539368028
14,1.911889930948487,38.76853764058789,2.342364523655007,,0.06123359021000344,0.0785415394665875,0.032690597222083784,4.0,3.74684130616067,0.25315869383933,0.26689147425479953,98.4433048941865,95.22513446467985,1,93.93478209204011,0.0785415394665875,1.911889930948487
15,1.9010667141979305,38.84686112344348,2.188400081882664,,0.06123359021000344,0.0785415394665875,0.039049913032989436,4.0,3.6994883823690463,0.3005116176309537,0.2703076470697358,98.1404803317624,94.30810310979128,1,93.40301690486008,0.0785415394665875,1.9010667141979305
16,1.8891989948061458,38.865889781652804,2.1206980945954057,,0.06123359021000344,0.0785415394665875,0.046210268977941116,4.0,3.646886621410139,0.3531133785898608,0.2742064955157094,97.79951100105042,93.28016929178077,1,92.81993331989463,0.0785415394665875,1.8891989948061458
17,1.878278372248849,38.647578733807656,2.369981457799298,,0.06123359021000344,0.0785415394665875,0.053619575934073405,4.0,3.5932432583598,0.40675674164020004,0.2783001116535784,97.44668686028221,92.22163683465344,1,92.2833824005014,0.0785415394665875,1.878278372248849
18,1.8675697161520206,38.79218188173866,2.247991649924625,,0.06123359021000344,0.0785415394665875,0.058416343772896395,4.0,3.5589361771891315,0.44106382281086853,0.28098284156076264,97.21826934414779,91.53913350113402,1,91.75724579573611,0.0785415394665875,1.8675697161520206
19,1.8675892574453767,38.77022223929529,2.4115317107898875,19.0,0.06123359021000344,0.0785415394665875,0.05861813909671132,4.0,3.5575001136429076,0.44249988635709236,0.2810962664948427,97.20866004301375,91.51046928720744,1,91.75820589657847,0.0785415394665875,1.8675892574453767
20,1.979626548250818,37.54320599748628,2.2033558468593775,20.0,0.06312338245683809,0.08335365112062572,0.13428237833087875,4.0,3.057903665194389,0.9420963348056111,0.3270214203874963,93.60560103186292,81.036018300213,1,97.26281070025072,0.08335365112062572,1.979626548250818
